B1,B2,A1,B3,B4,B5,B6,B7,B8,A2,class
16 ,23 ,1 ,17629 ,21675 ,16 ,10 ,2225 ,1484 ,3 ,0 
19 ,31 ,1 ,20919 ,24199 ,13 ,8 ,2226 ,1869 ,3 ,0 
17 ,32 ,1 ,21467 ,23793 ,13 ,9 ,2013 ,1627 ,3 ,0 
23 ,34 ,1 ,19728 ,22526 ,16 ,7 ,2671 ,1538 ,3 ,0 
31 ,46 ,1 ,11534 ,16855 ,11 ,10 ,1803 ,1416 ,10 ,0 
24 ,38 ,1 ,20355 ,24093 ,14 ,7 ,2357 ,1680 ,3 ,0 
2 ,14 ,1 ,32616 ,24822 ,7 ,1 ,590 ,69 ,3 ,1 
0 ,0 ,1 ,32674 ,24913 ,6 ,1 ,589 ,70 ,3 ,1 
29 ,46 ,1 ,14444 ,17490 ,12 ,9 ,1805 ,1547 ,3 ,0 
6 ,6 ,1 ,20205 ,23909 ,11 ,8 ,1639 ,1294 ,3 ,0 
10 ,5 ,1 ,24459 ,25642 ,16 ,7 ,2425 ,1183 ,3 ,0 
8 ,7 ,1 ,27161 ,26062 ,13 ,10 ,1813 ,1461 ,3 ,0 
13 ,12 ,1 ,18556 ,20640 ,15 ,10 ,2080 ,1538 ,3 ,0 
16 ,19 ,1 ,15949 ,18609 ,11 ,9 ,2017 ,1947 ,3 ,0 
14 ,32 ,1 ,17099 ,19232 ,7 ,9 ,1146 ,1576 ,3 ,0 
14 ,18 ,1 ,17542 ,19930 ,16 ,9 ,2397 ,1610 ,3 ,0 
14 ,28 ,1 ,16966 ,20811 ,10 ,8 ,1711 ,1747 ,3 ,0 
38 ,48 ,1 ,20741 ,22917 ,10 ,9 ,1743 ,2040 ,3 ,0 
8 ,9 ,1 ,21327 ,24227 ,10 ,8 ,1700 ,1608 ,3 ,0 
13 ,11 ,1 ,20140 ,23225 ,15 ,10 ,2221 ,1583 ,3 ,0 
